genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Fantasy
Adventure
Action",Fantasy,Adventure,7,125,6,PG-13,7-May-99,Universal Pictures,The Mummy,1999
"Romance
Drama
Comedy",Romance,Drama,7,124,7,PG-13,28-May-99,Universal Pictures,Notting Hill,1999
"Crime
Adventure
Action",Crime,Adventure,6.4,128,8,PG-13,19-Nov-99,Metro-Goldwyn-Mayer,The World Is Not Enough,1999
"Romance
Drama",Romance,Drama,8.4,122,9,R,1-Oct-99,DreamWorks Pictures,American Beauty,1999
"Comedy
Adventure
Action",Comedy,Adventure,6.6,95,10,PG-13,11-Jun-99,New Line Cinema,Austin Powers: The Spy Who Shagged Me,1999
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.6,151,1,PG-13,1-Jul-98,Touchstone Pictures,Armageddon,1998
"War
Drama
Action",War,Drama,8.6,169,2,R,24-Jul-98,DreamWorks Pictures / Paramount Pictures,Saving Private Ryan,1998
"Thriller
Sci-Fi
Action",Thriller,Sci-Fi,5.3,139,3,PG-13,20-May-98,TriStar Pictures,Godzilla,1998
"Romance
Comedy",Romance,Comedy,7.1,119,4,R,15-Jul-98,20th Century Fox,There's Something About Mary,1998
"Comedy
Animation
Adventure",Comedy,Animation,7.2,95,5,G,25-Nov-98,Walt Disney Pictures / Pixar,A Bug's Life,1998
"Sci-Fi
Drama
Action",Sci-Fi,Drama,6.1,120,6,PG-13,8-May-98,DreamWorks Pictures / Paramount Pictures,Deep Impact,1998
"Family
Animation
Adventure",Family,Animation,7.5,88,7,G,19-Jun-98,Walt Disney Pictures,Mulan,1998
"Fantasy
Family
Comedy",Fantasy,Family,5.3,85,8,PG-13,26-Jun-98,20th Century Fox,Dr. Dolittle,1998
"Romance
Drama
Comedy",Romance,Drama,7.2,123,9,R,8-Jan-99,Miramax Films / Universal Pictures,Shakespeare in Love,1998
"Thriller
Crime
Action",Thriller,Crime,6.6,127,10,R,10-Jul-98,Warner Bros.,Lethal Weapon 4,1998
"Romance
Drama",Romance,Drama,7.7,194,1,PG-13,19-Dec-97,Paramount Pictures / 20th Century Fox,Titanic,1997
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.5,129,2,PG-13,23-May-97,Universal Pictures,The Lost World: Jurassic Park,1997
"Sci-Fi
Comedy",Sci-Fi,Comedy,7.2,98,3,PG-13,2-Jul-97,Columbia Pictures,Men in Black,1997
"Thriller
Adventure
Action",Thriller,Adventure,6.5,119,4,PG-13,19-Dec-97,United Artists,Tomorrow Never Dies,1997
"Drama
Adventure
Action",Drama,Adventure,6.4,124,5,R,25-Jul-97,Columbia Pictures,Air Force One,1997
"Romance
Drama
Comedy",Romance,Drama,7.8,139,6,PG-13,25-Dec-97,TriStar Pictures,As Good as It Gets,1997
Comedy,Comedy,,6.8,86,7,PG-13,21-Mar-97,Universal Pictures,Liar Liar,1997
"Romance
Comedy",Romance,Comedy,6.3,105,8,PG-13,20-Jun-97,TriStar Pictures,My Best Friend's Wedding,1997
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.6,126,9,PG-13,9-May-97,Columbia Pictures,The Fifth Element,1997
"Music
Drama
Comedy",Music,Drama,7.2,91,10,R,19-Sep-97,Fox Searchlight Pictures,The Full Monty,1997
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.9,145,1,PG-13,3-Jul-96,20th Century Fox,Independence Day,1996
"Drama
Adventure
Action",Drama,Adventure,6.2,113,2,PG-13,10-May-96,Warner Bros. / Universal Pictures,Twister,1996
